ID,FR,GB,PT,NL,DE
text_err_416_inv_gauche_defaut,Défaut : Eeprom (driver inverter),New Text,New Text,New Text,New Text
text_err_415_inv_gauche_defaut,Défaut : Communication perdue (driver inverter),New Text,New Text,New Text,New Text
text_err_414_inv_gauche_defaut,Défaut : Adressage interne (driver inverter),New Text,New Text,New Text,New Text
text_err_413_inv_gauche_defaut,Défaut : Converstisseur analogique/digital (driver inverter),New Text,New Text,New Text,New Text
text_err_412_inv_gauche_defaut,Défaut : Surtension PFC (driver inverter),New Text,New Text,New Text,New Text
text_err_411_inv_gauche_defaut,Défaut : Surintensité software PFC (driver inverter),New Text,New Text,New Text,New Text
text_err_410_inv_gauche_defaut,Défaut : Surintensité hardware PFC (driver inverter),New Text,New Text,New Text,New Text
text_err_409_inv_gauche_defaut,Défaut : Sonde de refoulement compresseur (driver inverter),New Text,New Text,New Text,New Text
text_err_408_inv_gauche_defaut,Défaut : Capteur de température PFC (driver inverter),New Text,New Text,New Text,New Text
text_err_407_inv_gauche_defaut,Défaut : Capteur de température IPM (driver inverter),New Text,New Text,New Text,New Text
text_err_406_inv_gauche_defaut,Défaut : Capteur de courant PFC (driver inverter),New Text,New Text,New Text,New Text
text_err_405_inv_gauche_defaut,Défaut : Capteur de courant phase W (driver inverter),New Text,New Text,New Text,New Text
text_err_404_inv_gauche_defaut,Défaut : Capteur de courant phase V (driver inverter),New Text,New Text,New Text,New Text
text_err_403_inv_gauche_defaut,Défaut : Capteur de courant phase U (driver inverter),New Text,New Text,New Text,New Text
text_err_402_inv_gauche_defaut,Défaut : Défaut général driver,New Text,New Text,New Text,New Text
text_err_401_inv_gauche_defaut,Erreur : Incompatibilité entre le driver et le compresseur,New Text,New Text,New Text,New Text
text_err_400_inv_gauche_defaut,Erreur : Erreur de communication avec le driver,New Text,New Text,New Text,New Text
text_err_384_inv_gauche_defaut,Erreur : Erreurs récurrentes,New Text,New Text,New Text,New Text
text_err_383_inv_gauche_defaut,Défaut : Sonde spare,New Text,New Text,New Text,New Text
text_err_382_inv_gauche_defaut,Erreur : Sonde spare,New Text,New Text,New Text,New Text
text_err_381_inv_gauche_defaut,Défaut : Sonde de retour liquide,New Text,New Text,New Text,New Text
text_err_380_inv_gauche_defaut,Erreur : Sonde de retour liquide,New Text,New Text,New Text,New Text
text_err_311_inv_gauche_defaut,Défaut : Klixon compresseur,New Text,New Text,New Text,New Text
text_err_310_inv_gauche_defaut,Défaut : Pressostat HP,New Text,New Text,New Text,New Text
text_err_309_inv_gauche_defaut,Défaut : Démarrage compresseur récurrent,New Text,New Text,New Text,New Text
text_err_308_inv_gauche_defaut,Défaut : Démarrage compresseur,New Text,New Text,New Text,New Text
text_err_307_inv_gauche_defaut,Défaut : Pression BP,New Text,New Text,New Text,New Text
text_err_306_inv_gauche_defaut,Erreur : Pression BP,New Text,New Text,New Text,New Text
text_err_305_inv_gauche_defaut,Défaut : Pression HP,New Text,New Text,New Text,New Text
text_err_304_inv_gauche_defaut,Erreur : Pression HP,New Text,New Text,New Text,New Text
text_err_303_inv_gauche_defaut,Défaut : Sonde d'aspiration,New Text,New Text,New Text,New Text
text_err_302_inv_gauche_defaut,Erreur : Sonde d'aspiration,New Text,New Text,New Text,New Text
text_err_301_inv_gauche_defaut,Défaut : Sonde de refoulement,New Text,New Text,New Text,New Text
text_err_300_inv_gauche_defaut,Erreur : Sonde de refoulement,New Text,New Text,New Text,New Text
text_err_262_inv_gauche_defaut,Défaut : Débistat puits,New Text,New Text,New Text,New Text
text_err_261_inv_gauche_defaut,Défaut : Débimètre captage,New Text,New Text,New Text,New Text
text_err_260_inv_gauche_defaut,Erreur : Débimètre captage,New Text,New Text,New Text,New Text
text_err_259_inv_gauche_defaut,Défaut : Pression d'eau captage,New Text,New Text,New Text,New Text
text_err_258_inv_gauche_defaut,Erreur : Pression d'eau captage,New Text,New Text,New Text,New Text
text_err_257_inv_gauche_defaut,Défaut : Température sortie eau de nappe anormale,New Text,New Text,New Text,New Text
text_err_256_inv_gauche_defaut,Erreur : Sonde sortie eau de nappe anormale,New Text,New Text,New Text,New Text
text_err_255_inv_gauche_defaut,Défaut : Température entrée eau de nappe anormale,New Text,New Text,New Text,New Text
text_err_254_inv_gauche_defaut,Erreur : Sonde entrée eau de nappe anormale,New Text,New Text,New Text,New Text
text_err_253_inv_gauche_defaut,Défaut : Sonde d'eau retour captage,New Text,New Text,New Text,New Text
text_err_252_inv_gauche_defaut,Erreur : Sonde d'eau retour captage,New Text,New Text,New Text,New Text
text_err_251_inv_gauche_defaut,Défaut : Sonde d'eau départ captage,New Text,New Text,New Text,New Text
text_err_250_inv_gauche_defaut,Erreur : Sonde d'eau départ captage,New Text,New Text,New Text,New Text
text_err_241_inv_gauche_defaut,Défaut : Absence de numéro de série,New Text,New Text,New Text,New Text
text_err_240_inv_gauche_defaut,Défaut : Mauvaise configuration PAC,New Text,New Text,New Text,New Text
text_err_233_inv_gauche_defaut,"Défaut : Klixon ou fusibles appoint (brin 1, 2 et 3)",New Text,New Text,New Text,New Text
text_err_232_inv_gauche_defaut,Défaut : Fusible appoint (brin 3),New Text,New Text,New Text,New Text
text_err_231_inv_gauche_defaut,Défaut : Fusible appoint (brin 2),New Text,New Text,New Text,New Text
text_err_230_inv_gauche_defaut,Défaut : Fusible appoint (brin 1),New Text,New Text,New Text,New Text
text_err_217_inv_gauche_defaut,Défaut : Débimètre chauffage,New Text,New Text,New Text,New Text
text_err_216_inv_gauche_defaut,Erreur : Débimètre chauffage,New Text,New Text,New Text,New Text
text_err_215_inv_gauche_defaut,Défaut : Pression d'eau chauffage,New Text,New Text,New Text,New Text
text_err_214_inv_gauche_defaut,Erreur : Pression d'eau chauffage,New Text,New Text,New Text,New Text
text_err_213_inv_gauche_defaut,Défaut : Sonde d'eau retour chauffage,New Text,New Text,New Text,New Text
text_err_212_inv_gauche_defaut,Erreur : Sonde d'eau retour chauffage,New Text,New Text,New Text,New Text
text_err_211_inv_gauche_defaut,Défaut : Sonde d'eau départ chauffage,New Text,New Text,New Text,New Text
text_err_210_inv_gauche_defaut,Erreur : Sonde d'eau départ chauffage,New Text,New Text,New Text,New Text
text_err_203_inv_gauche_defaut,Défaut : Capteur hygrométrie,New Text,New Text,New Text,New Text
text_err_202_inv_gauche_defaut,Erreur : Capteur hygrométrie,New Text,New Text,New Text,New Text
text_err_201_inv_gauche_defaut,Défaut : Sonde extérieure,New Text,New Text,New Text,New Text
text_err_200_inv_gauche_defaut,Erreur : Sonde extérieure,New Text,New Text,New Text,New Text
text_err_873_gauche_defaut,PW : Alerte faible champ magnétique,New Text,New Text,New Text,New Text
text_err_872_gauche_defaut,PW : Alerte PFC surintensité,New Text,New Text,New Text,New Text
text_err_871_gauche_defaut,PW : Alerte radiateur PW température élevée,New Text,New Text,New Text,New Text
text_err_870_gauche_defaut,PW : Alerte surintensité compresseur,New Text,New Text,New Text,New Text
text_err_869_gauche_defaut,PW : Communication maitre avec esclave erreur,New Text,New Text,New Text,New Text
text_err_868_gauche_defaut,PW : RS485 communication en erreur,New Text,New Text,New Text,New Text
text_err_867_gauche_defaut,PW : Erreur sonde de température radiateur,New Text,New Text,New Text,New Text
text_err_866_gauche_defaut,PW : PFC Surintensité,New Text,New Text,New Text,New Text
text_err_865_gauche_defaut,PW : AC sous-tension,New Text,New Text,New Text,New Text
text_err_864_gauche_defaut,PW : DC sous-tension,New Text,New Text,New Text,New Text
text_err_863_gauche_defaut,PW : DC bus surtension,New Text,New Text,New Text,New Text
